gCSD16_DEN_1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	0
gCSD16_DEN_1	AAC(6')-Iap	0
gCSD16_DEN_1	AAC(6')-Iid	0
gCSD16_DEN_1	AAC(6')-Ir	0
gCSD16_DEN_1	ACT-1	0
gCSD16_DEN_1	ACT-74	0
gCSD16_DEN_1	ACT-8	0
gCSD16_DEN_1	ADC-130	0
gCSD16_DEN_1	ADC-133	0
gCSD16_DEN_1	ADC-135	0
gCSD16_DEN_1	ADC-206	0
gCSD16_DEN_1	ADC-245	0
gCSD16_DEN_1	ADC-30	0
gCSD16_DEN_1	ADC-58	0
gCSD16_DEN_1	ANT(2'')-Ia	0
gCSD16_DEN_1	ANT(3'')-IIa	0
gCSD16_DEN_1	ANT(3'')-IIb	0
gCSD16_DEN_1	ANT(3'')-IIc	0
gCSD16_DEN_1	APH(3'')-Ib	0
gCSD16_DEN_1	APH(3')-IIb	0
gCSD16_DEN_1	APH(3')-Ia	0
gCSD16_DEN_1	APH(6)-Id	0
gCSD16_DEN_1	Acinetobacter baumannii AbaF	0
gCSD16_DEN_1	Acinetobacter baumannii AbaQ	0
gCSD16_DEN_1	Acinetobacter baumannii AmvA	0
gCSD16_DEN_1	Acinetobacter baumannii parC conferring resistance to fluoroquinolones	0
gCSD16_DEN_1	BJP-1	0
gCSD16_DEN_1	CARB-16	0
gCSD16_DEN_1	CARB-50	0
gCSD16_DEN_1	CRP	0
gCSD16_DEN_1	CfxA3	0
gCSD16_DEN_1	DfrA37	0
gCSD16_DEN_1	DfrB9	0
gCSD16_DEN_1	Enterobacter cloacae acrA	0
gCSD16_DEN_1	Erm(36)	0
gCSD16_DEN_1	ErmB	0
gCSD16_DEN_1	ErmC	0
gCSD16_DEN_1	ErmF	0
gCSD16_DEN_1	ErmX	1
gCSD16_DEN_1	Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime	0
gCSD16_DEN_1	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	0
gCSD16_DEN_1	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0
gCSD16_DEN_1	Escherichia coli GlpT with mutation conferring resistance to fosfomycin	0
