AAC(3)-II	S2
AAC(3)-II	S3
AAC(3)-II	S4
AAC(3)-II	S10
AAC(3)-II	S11
AAC(3)-II	S12
AAC(3)-II	S13
AAC(3)-II	S23
AAC(3)-II	S24
AAC(3)-II	S25
AAC(3)-II	S26
AAC(3)-II	S40
AAC(3)-II	S41
AAC(3)-II	S42
AAC(3)-II	S43
AAC(3)-II	S44
AAC(3)-II	S45
AAC(3)-II	S46
AAC(3)-II	S47
AAC(3)-II	S48
AAC(3)-II	S49
AAC(3)-II	S50
AAC(3)-II	S51
AAC(3)-II	S52
AAC(3)-II	S53
AAC(3)-II	S115
AAC(3)-II	S116
AAC(3)-II	S117
AAC(3)-II	S118
AAC(3)-II	S119
AAC(3)-II	S120
AAC(3)-IIa	S10
AAC(3)-IIa	S11
AAC(3)-IIa	S12
AAC(3)-IIa	S41
AAC(3)-IIa	S42
AAC(3)-IIa	S43
AAC(3)-IIa	S115
AAC(3)-IIa	S116
AAC(3)-IIa	S117
AAC(3)-IIc	S4
AAC(3)-IIc	S13
AAC(3)-IIc	S23
AAC(3)-IIc	S24
AAC(3)-IIc	S25
AAC(3)-IIc	S26
AAC(3)-IIc	S44
AAC(3)-IIc	S45
AAC(3)-IIc	S46
AAC(3)-IIc	S47
AAC(3)-IIc	S48
AAC(3)-IIc	S49
AAC(3)-IIc	S50
AAC(3)-IIc	S51
AAC(3)-IIc	S52
AAC(3)-IIc	S53
AAC(3)-IIc	S118
AAC(3)-IIc	S119
AAC(3)-IIc	S120
AAC(3)-IV	S44
AAC(3)-IV	S45
AAC(3)-IV	S54
AAC(3)-IV	S55
AAC(3)-IV	S56
AAC(3)-IV	S57
AAC(3)-IV	S58
AAC(3)-IV	S59
AAC(3)-IV	S60
AAC(3)-IV	S61
AAC(3)-IV	S62
AAC(6')-30_AAC(6')-Ib'fusionprotein	S40
AAC(6')-30_AAC(6')-Ib'fusionprotein	S41
AAC(6')-30_AAC(6')-Ib'fusionprotein	S63
AAC(6')-30_AAC(6')-Ib'fusionprotein	S64
AAC(6')-30_AAC(6')-Ib'fusionprotein	S65
AAC(6')-30_AAC(6')-Ib'fusionprotein	S66
AAC(6')-IIc	S2
AAC(6')-IIc	S3
AAC(6')-IIc	S40
AAC(6')-Ib-Hangzhou	S92
AAC(6')-Ib-Hangzhou	S93
AAC(6')-Ib-Hangzhou	S94
AAC(6')-Ib-Hangzhou	S95
AAC(6')-Ib-Hangzhou	S96
AAC(6')-Ib-Hangzhou	S97
AAC(6')-Ib-Suzhou	S58
AAC(6')-Ib-Suzhou	S59
AAC(6')-Ib-Suzhou	S63
AAC(6')-Ib-Suzhou	S98
AAC(6')-Ib-Suzhou	S99
AAC(6')-Ib-Suzhou	S100
AAC(6')-Ib-Suzhou	S101
AAC(6')-Ib-cr	S3
AAC(6')-Ib-cr	S10
AAC(6')-Ib-cr	S14
AAC(6')-Ib-cr	S23
AAC(6')-Ib-cr	S24
AAC(6')-Ib-cr	S25
AAC(6')-Ib-cr	S26
AAC(6')-Ib-cr	S27
AAC(6')-Ib-cr	S41
AAC(6')-Ib-cr	S48
AAC(6')-Ib-cr	S49
AAC(6')-Ib-cr	S50
AAC(6')-Ib-cr	S51
AAC(6')-Ib-cr	S52
AAC(6')-Ib-cr	S53
AAC(6')-Ib-cr	S80
AAC(6')-Ib-cr	S81
AAC(6')-Ib-cr	S82
AAC(6')-Ib-cr	S83
AAC(6')-Ib-cr	S84
AAC(6')-Ib-cr	S85
AAC(6')-Ib-cr	S86
AAC(6')-Ib-cr	S87
AAC(6')-Ib-cr	S88
AAC(6')-Ib-cr	S89
AAC(6')-Ib-cr	S90
AAC(6')-Ib-cr	S91
AAC(6')-Ib-cr	S118
AAC(6')-Ib-cr	S119
AAC(6')-Ib-cr	S120
AAC(6')-Ib-cr	S122
AAC(6')-Ib-cr	S123
AAC(6')-Ib-cr	S124
AAC(6')-Ib-cr	S125
AAC(6')-Ib-cr	S126
AAC(6')-Ib-cr	S127
AAC(6')-Ib-cr7	S53
AAC(6')-Ib10	S42
